no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0.0,0.0,-0.5,0.0,1,0.0,1,-0.09174311926605505,-1.0,0.4,0.26666666666666666,2,0.0,0.0,0.0,-0.126923076923077,2.0,1
0.0,0.0,-0.5,0.0,2,0.0,1,1.8256880733944953,0.0,-0.4,-0.06666666666666667,2,0.0,0.0,0.0,0.39871794871794863,1.0,0
-1.0,0.0,0.0,-1.0,1,0.0,1,-0.5229357798165137,-1.0,0.4,-0.7333333333333333,1,0.0,0.0,0.0,-0.08846153846153854,0.0,1
0.0,0.0,0.0,0.5,0,0.0,1,-0.5137614678899083,-1.0,0.0,-0.4,2,0.0,0.0,0.0,-0.08846153846153854,1.0,1
0.0,0.0,0.5,0.0,1,0.0,1,0.3853211009174312,-1.0,0.4,0.9333333333333333,2,0.0,0.0,0.0,-0.8833333333333334,0.0,0
0.0,0.0,0.0,-1.0,1,0.0,1,-0.41284403669724773,-1.0,0.4,-0.8,1,0.0,0.0,0.0,-0.7038461538461539,0.0,1
0.0,0.0,0.5,0.0,1,0.0,1,0.3853211009174312,-1.0,0.4,0.9333333333333333,2,0.0,0.0,0.0,-0.8833333333333334,0.0,0
-1.0,0.0,-0.5,-0.5,1,0.0,1,0.5963302752293578,0.0,0.6,0.6,3,0.0,0.0,0.0,-0.8320512820512821,0.0,1
0.0,0.0,0.5,1.0,1,0.0,1,-0.5045871559633027,0.0,-1.0,0.26666666666666666,1,0.0,0.0,0.0,-0.3705128205128206,0.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,-0.1834862385321101,0.0,0.4,-0.2,1,0.0,0.0,0.0,0.14230769230769225,0.0,1
0.0,0.0,0.5,-0.5,0,0.0,1,0.6697247706422018,0.0,-0.6,0.4,2,0.0,0.0,0.0,-0.126923076923077,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,0.3853211009174312,0.0,-0.8,0.8,2,0.0,0.0,0.0,0.38076923076923064,1.0,1
0.0,0.0,0.0,-0.5,1,0.0,1,0.027522935779816515,-1.0,0.2,0.3333333333333333,1,0.0,0.0,0.0,-0.8833333333333334,0.0,1
-1.0,0.0,-0.5,0.0,1,0.0,4,-0.5045871559633027,0.0,-0.6,0.2,4,0.0,0.0,0.0,0.27051282051282044,0.0,0
-1.0,0.0,0.0,0.0,1,0.0,1,-0.1834862385321101,-1.0,0.6,-0.6666666666666666,2,0.0,0.0,0.0,-1.5928205128205128,0.0,0
0.0,0.0,-0.5,0.0,2,0.0,1,-0.009174311926605505,-1.0,0.2,0.06666666666666667,1,0.0,0.0,0.0,-0.4474358974358975,0.0,1
0.0,0.0,0.0,-0.5,1,0.0,4,-0.4954128440366973,-1.0,0.2,0.2,2,0.0,0.0,0.0,2.0012820512820513,1.0,1
0.0,0.0,0.5,0.0,1,0.0,1,0.45871559633027525,0.0,0.6,-0.2,2,0.0,0.0,0.0,-0.3064102564102565,1.0,1
-2.0,2.0,-0.5,0.5,1,0.0,2,-0.009174311926605505,0.0,0.8,-0.6,2,0.0,0.0,0.0,-0.4361538461538463,1.0,1
0.0,0.0,-0.5,-0.5,0,0.0,1,-0.5045871559633027,0.0,-1.4,-0.4666666666666667,2,0.0,0.0,0.0,-0.767948717948718,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,0.13761467889908258,0.0,0.4,-0.6,1,0.0,0.0,0.0,-0.35769230769230775,0.0,1
0.0,0.0,-0.5,-0.5,0,1.0,1,-0.3119266055045872,0.0,-0.8,0.7333333333333333,2,0.0,0.0,0.0,0.39871794871794863,1.0,1
-1.0,0.0,0.5,-0.5,1,0.0,1,-0.21100917431192662,0.0,-0.4,0.2,2,0.0,0.0,0.0,-0.4730769230769232,0.0,0
0.0,0.0,-0.5,-0.5,1,0.0,1,2.128440366972477,-1.0,0.4,0.06666666666666667,1,0.0,0.0,0.0,-0.8320512820512821,0.0,1
0.0,0.0,0.5,0.5,0,0.0,1,1.7431192660550459,0.0,0.6,0.2,2,0.0,0.0,0.0,-0.9153846153846155,0.0,0
0.0,0.0,0.5,-0.5,1,0.0,4,1.18348623853211,0.0,-0.2,0.9333333333333333,2,0.0,0.0,0.0,0.5730769230769229,1.0,0
0.0,0.0,-0.5,1.0,1,0.0,1,0.06422018348623854,0.0,0.6,-1.0,2,0.0,0.0,0.0,-0.15000000000000022,2.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,-0.2018348623853211,0.0,-0.4,0.3333333333333333,2,0.0,0.0,0.0,0.0653846153846153,1.0,1
1.0,0.0,0.5,-0.5,1,0.0,1,0.3577981651376147,0.0,-0.8,-0.4,2,0.0,0.0,0.0,0.5730769230769229,1.0,1
0.0,0.0,0.0,-0.5,0,0.0,1,-0.14678899082568808,0.0,-0.4,0.7333333333333333,2,0.0,0.0,0.0,-0.03461538461538483,1.0,0
0.0,0.0,-0.5,1.0,1,0.0,4,-0.01834862385321101,-1.0,0.6,0.13333333333333333,1,0.0,0.0,0.0,-1.0115384615384617,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,0.8165137614678899,-1.0,0.8,0.8666666666666667,1,0.0,0.0,0.0,-0.626923076923077,0.0,1
-1.0,0.0,-0.5,0.0,1,0.0,1,-0.22935779816513763,-1.0,0.6,0.26666666666666666,1,0.0,0.0,0.0,-0.6782051282051282,0.0,1
0.0,0.0,-0.5,-0.5,2,0.0,1,-0.01834862385321101,0.0,-0.8,-0.6666666666666666,1,0.0,0.0,0.0,0.1166666666666666,0.0,1
0.0,0.0,-0.5,1.0,0,0.0,1,0.0,0.0,0.6,-1.0,2,0.0,0.0,0.0,-0.5192307692307693,1.0,1
-1.0,0.0,0.0,0.5,1,0.0,4,-0.45871559633027525,0.0,0.8,0.8666666666666667,2,0.0,0.0,0.0,0.6756410256410255,2.0,1
-1.0,0.0,0.5,1.5,0,0.0,1,0.6146788990825688,0.0,-0.6,0.9333333333333333,2,0.0,0.0,0.0,-0.2948717948717949,0.0,1
0.0,0.0,0.5,0.0,2,0.0,1,1.0275229357798166,0.0,-0.8,0.4,2,0.0,0.0,0.0,0.16794871794871788,0.0,0
-1.0,0.0,0.0,0.0,1,0.0,1,-0.46788990825688076,0.0,-0.6,0.0,2,0.0,0.0,0.0,0.954358974358974,1.0,1
0.0,0.0,-0.5,1.0,1,0.0,4,-0.05504587155963303,-1.0,0.6,-0.3333333333333333,1,0.0,0.0,0.0,-1.0115384615384617,1.0,1
0.0,0.0,0.0,-1.0,0,0.0,1,-0.4036697247706422,0.0,-0.4,-0.2,2,0.0,0.0,0.0,-0.267948717948718,2.0,1
0.0,0.0,0.0,0.5,1,0.0,1,0.3944954128440367,0.0,-0.6,0.2,2,0.0,0.0,0.0,0.9371794871794871,1.0,1
0.0,0.0,-0.5,-0.5,0,0.0,1,0.7522935779816514,0.0,-0.2,0.8,2,0.0,0.0,0.0,-0.126923076923077,1.0,1
0.0,0.0,0.0,0.0,1,0.0,1,0.5504587155963303,0.0,0.8,0.6666666666666666,2,0.0,0.0,0.0,-0.15000000000000022,2.0,1
0.0,0.0,0.0,1.0,1,0.0,4,-0.1651376146788991,0.0,-0.8,0.26666666666666666,2,0.0,0.0,0.0,0.542307692307692,0.0,0
0.0,0.0,-0.5,0.5,1,0.0,4,0.26605504587155965,0.0,-0.8,-0.6666666666666666,2,0.0,0.0,0.0,-0.003846153846153992,1.0,1
0.0,2.0,-0.5,-0.5,1,1.0,6,-0.5045871559633027,0.0,0.2,-0.9333333333333333,2,0.0,0.0,0.0,4.065384615384616,1.0,1
-1.0,0.0,-0.5,0.5,1,0.0,4,-0.3486238532110092,0.0,-0.6,-0.8666666666666667,2,0.0,0.0,0.0,0.53,2.0,1
-1.0,0.0,-0.5,0.0,1,0.0,1,1.238532110091743,0.0,-0.4,0.5333333333333333,1,0.0,0.0,0.0,-0.11410256410256417,0.0,1
-1.0,0.0,-0.5,-0.5,1,0.0,1,-0.5045871559633027,-1.0,0.2,-0.4,5,0.0,0.0,0.0,-2.5500000000000003,1.0,1
0.0,0.0,0.5,-0.5,1,0.0,1,0.26605504587155965,0.0,0.8,0.13333333333333333,1,0.0,0.0,0.0,-0.626923076923077,0.0,1
0.0,0.0,-0.5,0.5,1,0.0,4,-0.24770642201834864,0.0,0.4,-0.7333333333333333,2,0.0,0.0,0.0,1.4884615384615383,2.0,1
0.0,0.0,-0.5,0.0,1,0.0,4,1.1192660550458715,0.0,-0.4,-0.8666666666666667,2,0.0,0.0,0.0,-0.04487179487179487,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,4,-0.28440366972477066,0.0,-0.8,-0.06666666666666667,2,0.0,0.0,0.0,1.091025641025641,0.0,0
0.0,0.0,-0.5,-0.5,1,0.0,1,-0.01834862385321101,0.0,-0.8,-0.6666666666666666,1,0.0,0.0,0.0,-0.4987179487179488,0.0,1
0.0,0.0,0.0,0.0,1,0.0,1,0.1559633027522936,0.0,-0.8,0.6,2,0.0,0.0,0.0,-0.35769230769230775,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,0.7889908256880734,0.0,0.0,0.6,1,0.0,0.0,0.0,0.01410256410256403,0.0,1
0.0,0.0,0.0,-1.0,0,0.0,1,-0.21100917431192662,0.0,0.6,-0.13333333333333333,2,0.0,0.0,0.0,-0.29358974358974366,2.0,1
0.0,0.0,0.0,-0.5,1,1.0,1,-0.24770642201834864,0.0,0.0,0.8666666666666667,2,0.0,0.0,0.0,0.5999999999999998,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,1.1009174311926606,0.0,-0.4,-0.8666666666666667,2,0.0,0.0,0.0,0.01410256410256403,0.0,0
0.0,0.0,0.5,0.5,1,0.0,4,-0.21100917431192662,-1.0,0.4,0.6,1,0.0,0.0,0.0,-0.626923076923077,0.0,1
0.0,0.0,0.0,1.0,1,0.0,4,-0.3577981651376147,0.0,-1.0,-0.4666666666666667,2,0.0,0.0,0.0,0.44487179487179473,1.0,1
1.0,0.0,0.0,-0.5,1,0.0,4,1.926605504587156,0.0,0.8,1.0,2,0.0,0.0,0.0,0.5653846153846153,0.0,1
0.0,0.0,0.0,0.0,1,0.0,1,0.06422018348623854,0.0,-0.4,0.7333333333333333,2,0.0,0.0,0.0,0.3192307692307693,1.0,1
1.0,0.0,0.5,1.5,1,0.0,4,0.8990825688073395,0.0,-0.4,0.8,2,0.0,0.0,0.0,0.5666666666666665,2.0,0
0.0,0.0,-0.5,1.5,1,0.0,1,-0.10091743119266056,0.0,-1.0,0.8666666666666667,1,0.0,0.0,0.0,-0.626923076923077,1.0,1
0.0,2.0,-0.5,0.0,1,0.0,6,0.23853211009174313,0.0,-0.8,-1.0,2,0.0,0.0,0.0,1.534615384615385,0.0,0
0.0,0.0,-0.5,1.5,1,0.0,4,0.6513761467889908,0.0,0.4,-0.3333333333333333,2,0.0,0.0,0.0,0.8423076923076925,0.0,0
0.0,0.0,0.5,-1.0,0,0.0,1,-0.3394495412844037,0.0,0.8,0.6,2,0.0,0.0,0.0,-0.29358974358974366,2.0,1
0.0,0.0,0.0,1.0,1,0.0,4,-0.1559633027522936,0.0,-1.0,-0.13333333333333333,2,0.0,0.0,0.0,-0.0161538461538464,0.0,1
0.0,0.0,0.0,0.0,1,1.0,4,-0.10091743119266056,0.0,-1.0,-0.8,2,0.0,0.0,0.0,-0.029487179487179632,1.0,1
-1.0,0.0,0.0,-1.0,1,0.0,1,-0.5137614678899083,0.0,0.4,0.06666666666666667,2,0.0,0.0,0.0,1.296153846153846,2.0,1
0.0,0.0,0.5,0.5,0,0.0,1,1.275229357798165,0.0,0.2,-0.8,2,0.0,0.0,0.0,-0.08717948717948733,1.0,1
-1.0,0.0,-0.5,0.0,1,0.0,1,1.201834862385321,0.0,-0.4,-0.06666666666666667,2,0.0,0.0,0.0,0.7833333333333332,0.0,0
0.0,0.0,-0.5,-0.5,0,0.0,1,-0.3669724770642202,0.0,0.8,-0.4,2,1.0,0.0,5.0,-0.11410256410256417,0.0,1
0.0,0.0,-0.5,0.5,1,0.0,5,0.8165137614678899,0.0,0.0,-0.4666666666666667,1,0.0,0.0,0.0,0.3617948717948718,0.0,1
0.0,0.0,0.0,0.5,0,0.0,1,0.48623853211009177,0.0,-0.6,-0.7333333333333333,2,0.0,0.0,0.0,0.054615384615384496,1.0,1
0.0,0.0,0.0,0.0,1,1.0,1,0.10091743119266056,0.0,-1.0,0.13333333333333333,2,0.0,0.0,0.0,0.14999999999999986,0.0,1
0.0,0.0,0.5,-0.5,1,0.0,4,0.14678899082568808,0.0,-0.8,-0.4666666666666667,2,0.0,0.0,0.0,0.4192307692307691,1.0,1
0.0,0.0,-0.5,-0.5,1,0.0,4,0.3211009174311927,0.0,-0.6,0.2,2,0.0,0.0,0.0,1.2807692307692309,1.0,1
0.0,0.0,0.5,1.5,1,0.0,1,1.0458715596330275,0.0,0.0,0.9333333333333333,2,0.0,0.0,0.0,0.3112820512820513,0.0,0
0.0,1.0,-0.5,0.0,1,1.0,1,0.7064220183486238,0.0,0.0,-0.8,2,0.0,0.0,0.0,0.7961538461538461,2.0,1
0.0,0.0,-0.5,0.0,2,0.0,1,2.4128440366972477,0.0,0.0,0.13333333333333333,2,0.0,0.0,0.0,0.39871794871794863,1.0,0
0.0,0.0,-0.5,1.0,1,0.0,1,0.5596330275229358,0.0,-0.8,-0.2,2,0.0,0.0,0.0,-0.21794871794871795,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,-0.24770642201834864,0.0,0.6,0.06666666666666667,2,0.0,0.0,0.0,-0.5992307692307693,1.0,1
0.0,2.0,0.0,0.5,1,0.0,6,-0.24770642201834864,0.0,0.8,0.4,2,0.0,0.0,0.0,1.4730769230769232,0.0,1
0.0,0.0,0.0,-1.0,0,0.0,1,1.2110091743119267,0.0,0.4,0.4666666666666667,2,0.0,0.0,0.0,0.0,2.0,1
1.0,0.0,0.0,0.0,1,0.0,4,-0.01834862385321101,0.0,-0.6,-0.2,2,0.0,0.0,0.0,1.534615384615385,2.0,1
-1.0,0.0,-0.5,1.0,1,0.0,1,-0.01834862385321101,0.0,0.8,-0.2,2,0.0,0.0,0.0,-0.6320512820512822,2.0,1
0.0,0.0,-0.5,-0.5,1,0.0,1,-0.3761467889908257,-1.0,0.4,1.0,2,0.0,0.0,0.0,-0.11410256410256417,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,-0.30275229357798167,-1.0,0.4,-0.5333333333333333,2,0.0,0.0,0.0,0.1935897435897435,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,-0.44954128440366975,0.0,-1.2,0.0,1,0.0,0.0,0.0,-0.9089743589743591,0.0,1
0.0,0.0,0.0,1.0,0,1.0,1,-0.43119266055045874,-1.0,0.6,-0.9333333333333333,2,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.5,1,0.0,4,-0.5229357798165137,-1.0,0.2,0.3333333333333333,2,0.0,0.0,0.0,1.4243589743589742,1.0,1
0.0,0.0,-0.5,-0.5,0,0.0,1,-0.41284403669724773,0.0,-0.4,0.9333333333333333,2,0.0,0.0,0.0,0.05717948717948728,1.0,1
0.0,0.0,0.5,-0.5,1,0.0,1,-0.22935779816513763,-1.0,0.2,-0.7333333333333333,2,0.0,0.0,0.0,-0.126923076923077,3.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,1.146788990825688,0.0,0.2,0.9333333333333333,2,0.0,0.0,0.0,0.4730769230769232,2.0,0
0.0,0.0,0.0,-1.0,0,0.0,1,-0.5137614678899083,0.0,-0.4,0.7333333333333333,2,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,-0.5,0.5,0,0.0,1,0.5963302752293578,0.0,-0.4,0.0,2,0.0,0.0,0.0,0.4269230769230767,2.0,1
0.0,0.0,0.5,0.5,1,0.0,1,-0.1559633027522936,0.0,-0.4,0.9333333333333333,2,0.0,0.0,0.0,0.4730769230769232,1.0,1
0.0,2.0,0.5,0.0,1,0.0,2,0.5412844036697247,0.0,-0.4,0.6666666666666666,2,0.0,0.0,0.0,2.174102564102564,1.0,0
1.0,0.0,0.5,0.0,1,1.0,4,0.6055045871559633,0.0,0.0,-0.2,2,0.0,0.0,0.0,1.4423076923076918,1.0,1
1.0,0.0,0.5,1.5,1,0.0,4,-0.1559633027522936,0.0,-0.8,0.4,2,0.0,0.0,0.0,0.9310256410256407,0.0,0
0.0,1.0,0.5,1.5,1,0.0,1,0.44036697247706424,0.0,0.6,-0.26666666666666666,2,0.0,0.0,0.0,0.08666666666666654,3.0,1
0.0,0.0,-0.5,-0.5,1,0.0,1,3.541284403669725,0.0,-0.8,0.8666666666666667,2,0.0,0.0,0.0,-0.8833333333333334,0.0,0
0.0,0.0,0.5,0.5,1,0.0,1,-0.5045871559633027,-1.0,0.6,-0.13333333333333333,2,0.0,0.0,0.0,0.09102564102564095,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,2.385321100917431,0.0,0.2,-1.0,2,0.0,0.0,0.0,0.17307692307692307,1.0,0
0.0,0.0,-0.5,0.0,0,0.0,1,2.1009174311926606,0.0,0.2,0.0,1,0.0,0.0,0.0,-1.05,0.0,1
0.0,0.0,0.0,0.5,1,0.0,1,0.10091743119266056,0.0,-1.0,-0.4,2,0.0,0.0,0.0,-0.6538461538461539,0.0,0
0.0,0.0,-0.5,0.5,1,0.0,1,0.8348623853211009,0.0,-0.6,-0.7333333333333333,2,0.0,0.0,0.0,0.14999999999999986,0.0,1
1.0,0.0,0.5,-1.0,1,0.0,4,0.10091743119266056,0.0,-0.8,0.5333333333333333,2,0.0,0.0,0.0,0.865384615384615,2.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,-0.24770642201834864,0.0,-1.0,0.9333333333333333,1,0.0,0.0,0.0,-0.35769230769230775,0.0,1
-1.0,0.0,-0.5,-0.5,1,0.0,1,-0.3944954128440367,0.0,0.6,-0.8666666666666667,2,0.0,0.0,0.0,0.3217948717948717,1.0,0
0.0,2.0,-0.5,0.0,1,0.0,6,0.48623853211009177,0.0,0.4,-0.13333333333333333,2,0.0,0.0,0.0,2.3423076923076924,0.0,0
-1.0,0.0,0.5,0.5,1,0.0,1,0.5504587155963303,0.0,-0.4,-0.7333333333333333,1,0.0,0.0,0.0,0.27051282051282044,0.0,1
0.0,0.0,0.0,1.0,1,0.0,4,0.25688073394495414,0.0,-0.2,-0.2,2,0.0,0.0,0.0,-0.20435897435897432,1.0,1
0.0,0.0,-0.5,0.0,0,0.0,1,-0.5137614678899083,0.0,0.4,0.26666666666666666,2,0.0,0.0,0.0,0.9115384615384615,2.0,1
-1.0,0.0,0.0,0.0,1,0.0,1,-0.29357798165137616,0.0,0.4,0.06666666666666667,2,0.0,0.0,0.0,0.7576923076923077,2.0,1
0.0,0.0,0.5,1.0,0,0.0,1,2.128440366972477,0.0,0.8,0.8,2,0.0,0.0,0.0,-0.7410256410256412,2.0,0
0.0,0.0,0.0,1.0,1,0.0,4,-0.26605504587155965,-1.0,0.4,0.2,1,0.0,0.0,0.0,-0.626923076923077,0.0,1
-1.0,0.0,-0.5,1.0,0,0.0,1,0.21100917431192662,0.0,-1.0,0.8666666666666667,2,0.0,0.0,0.0,-0.6974358974358975,0.0,1
0.0,0.0,-0.5,-0.5,1,0.0,4,-0.42201834862385323,-1.0,0.4,-0.4666666666666667,2,0.0,0.0,0.0,1.4243589743589742,2.0,1
0.0,1.0,0.0,-1.0,1,0.0,1,0.963302752293578,0.0,-0.2,0.6,2,0.0,0.0,0.0,0.5653846153846153,2.0,0
0.0,0.0,0.5,1.5,1,0.0,1,0.8990825688073395,0.0,-0.4,0.8,2,0.0,0.0,0.0,-0.21794871794871795,2.0,1
-1.0,0.0,0.5,0.0,1,0.0,1,0.22935779816513763,0.0,-0.6,0.4,2,0.0,0.0,0.0,0.2615384615384616,0.0,1
1.0,0.0,0.5,1.0,1,0.0,4,-0.27522935779816515,0.0,-0.8,-0.06666666666666667,2,0.0,0.0,0.0,1.1094871794871795,0.0,0
-1.0,0.0,0.0,0.0,1,0.0,1,-0.4036697247706422,0.0,-0.6,-0.4666666666666667,1,0.0,0.0,0.0,-0.2423076923076924,0.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,1.724770642201835,0.0,-0.4,0.06666666666666667,2,0.0,0.0,0.0,-0.626923076923077,0.0,0
0.0,0.0,-0.5,0.0,1,0.0,1,-0.42201834862385323,0.0,0.6,0.13333333333333333,2,0.0,0.0,0.0,0.2961538461538461,1.0,0
0.0,0.0,0.5,0.0,1,0.0,1,1.9174311926605505,0.0,0.4,0.9333333333333333,2,0.0,0.0,0.0,-0.3269230769230769,2.0,1
0.0,0.0,0.0,-1.0,1,0.0,1,-0.1651376146788991,0.0,-1.0,0.8,2,0.0,0.0,0.0,0.4730769230769232,1.0,1
-1.0,0.0,-0.5,0.0,1,0.0,1,-0.4036697247706422,0.0,-0.4,-1.0,5,1.0,3.0,5.0,-2.5500000000000003,1.0,1
0.0,0.0,-0.5,1.0,0,0.0,1,0.5045871559633027,0.0,-0.6,-0.8,2,0.0,0.0,0.0,0.054615384615384496,1.0,1
0.0,0.0,0.0,0.0,0,0.0,1,0.28440366972477066,0.0,-0.8,-0.5333333333333333,2,0.0,0.0,0.0,-1.0397435897435898,1.0,1
0.0,0.0,-0.5,-0.5,1,0.0,1,-0.009174311926605505,0.0,-0.4,-0.5333333333333333,1,0.0,0.0,0.0,0.5269230769230768,0.0,1
0.0,0.0,0.5,0.5,1,0.0,4,0.14678899082568808,0.0,-0.8,-0.6,2,0.0,0.0,0.0,0.19615384615384593,0.0,0
0.0,0.0,0.0,-0.5,1,0.0,1,0.21100917431192662,0.0,-0.6,-0.9333333333333333,2,0.0,0.0,0.0,0.7038461538461539,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,4,0.6697247706422018,0.0,0.2,0.8666666666666667,2,0.0,0.0,0.0,1.0269230769230768,2.0,0
0.0,0.0,0.0,0.5,0,0.0,1,0.11009174311926606,0.0,-0.8,-0.8,2,0.0,0.0,0.0,-0.47948717948717956,1.0,1
0.0,0.0,-0.5,0.0,2,0.0,1,1.981651376146789,-1.0,-0.2,0.06666666666666667,2,0.0,0.0,0.0,0.2448717948717948,0.0,0
0.0,0.0,-0.5,-0.5,2,0.0,1,-0.01834862385321101,0.0,-0.8,-0.6666666666666666,1,0.0,0.0,0.0,0.1166666666666666,0.0,1
-1.0,0.0,-0.5,0.5,1,0.0,1,-0.48623853211009177,0.0,0.6,-1.0,3,1.0,1.0,5.0,-0.8833333333333334,1.0,1
0.0,0.0,-0.5,0.5,1,0.0,4,0.3669724770642202,0.0,-0.6,0.5333333333333333,2,0.0,0.0,0.0,1.05,0.0,1
0.0,0.0,-0.5,0.5,1,0.0,1,-0.11926605504587157,0.0,-1.2,0.06666666666666667,1,0.0,0.0,0.0,-0.626923076923077,0.0,1
0.0,0.0,-0.5,-0.5,0,0.0,1,-0.23853211009174313,0.0,-0.8,-0.13333333333333333,2,0.0,0.0,0.0,-0.126923076923077,0.0,0
0.0,0.0,0.0,-1.0,0,0.0,1,-0.5229357798165137,0.0,-0.4,-0.7333333333333333,2,0.0,0.0,0.0,0.2448717948717948,0.0,1
0.0,0.0,0.5,0.0,1,0.0,1,0.045871559633027525,0.0,0.6,-0.26666666666666666,2,0.0,0.0,0.0,0.14230769230769225,2.0,1
0.0,0.0,0.5,0.0,1,0.0,4,0.26605504587155965,0.0,-0.8,0.06666666666666667,2,0.0,0.0,0.0,0.21794871794871795,1.0,1
1.0,0.0,0.5,0.0,1,0.0,7,-0.4954128440366973,0.0,0.4,-0.6,2,0.0,0.0,0.0,2.978205128205128,1.0,1
0.0,0.0,0.0,-0.5,0,0.0,1,1.2844036697247707,0.0,0.0,-1.0,2,0.0,0.0,0.0,-0.35769230769230775,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,0.7889908256880734,0.0,-0.2,-0.26666666666666666,2,0.0,0.0,0.0,0.14999999999999986,2.0,1
-1.0,0.0,0.5,-0.5,2,0.0,1,-0.3119266055045872,0.0,-1.4,-0.9333333333333333,2,0.0,0.0,0.0,-2.5243589743589743,0.0,1
0.0,0.0,-0.5,0.0,1,0.0,4,-0.44954128440366975,0.0,-0.4,-0.06666666666666667,2,0.0,0.0,0.0,1.45,0.0,0
-1.0,0.0,-0.5,0.0,1,0.0,1,-0.4036697247706422,0.0,0.6,0.0,2,0.0,0.0,0.0,-0.6743589743589743,1.0,1
0.0,0.0,0.0,0.0,1,0.0,1,2.0458715596330275,0.0,0.2,0.2,2,0.0,0.0,0.0,0.27051282051282044,0.0,0
0.0,1.0,0.0,-1.0,0,0.0,1,-0.42201834862385323,-1.0,0.2,-0.2,2,0.0,0.0,0.0,-0.3089743589743589,1.0,1
0.0,0.0,-0.5,0.0,1,0.0,1,2.385321100917431,0.0,0.2,-0.06666666666666667,2,0.0,0.0,0.0,0.5269230769230768,0.0,0
0.0,0.0,0.0,0.0,0,0.0,1,1.1743119266055047,0.0,0.8,0.0,2,0.0,0.0,0.0,-0.5192307692307693,0.0,0
